Cycle No,Residual Capacity or SOH (Actual),Residual Capacity or SOH(Predicted),Error,%error,max. error(percentage),average error(percentage),prediction formula
176,100,99.38249242,0.617507579,0.617507579,,,
177,100,99.38175745,0.618242551,0.618242551,,,
178,100,99.38097367,0.619026326,0.619026326,,,
179,100,99.38014115,0.619858855,0.619858855,,,
180,100,99.37925991,0.620740086,0.620740086,,,
181,100,99.37833003,0.621669968,0.621669968,,,
182,100,99.37735155,0.622648449,0.622648449,,,
183,100,99.37632452,0.623675476,0.623675476,,,
184,100,99.37524901,0.624750993,0.624750993,,,
185,100,99.37412505,0.625874946,0.625874946,,,
186,100,99.37295272,0.627047278,0.627047278,,,
187,100,99.37173207,0.628267933,0.628267933,,,
188,100,99.37046315,0.629536852,0.629536852,,,
189,100,99.36914602,0.630853977,0.630853977,,,
190,100,99.36778075,0.632219247,0.632219247,,,
191,100,99.3663674,0.633632602,0.633632602,,,
192,100,99.36490602,0.63509398,0.63509398,,,
193,100,99.36339668,0.636603319,0.636603319,,,
194,100,99.36183944,0.638160555,0.638160555,,,
195,100,99.36023438,0.639765625,0.639765625,,,
196,100,99.35858154,0.641418463,0.641418463,,,
197,100,99.356881,0.643119002,0.643119002,,,
198,100,99.35513282,0.644867178,0.644867178,,,
199,100,99.35333708,0.64666292,0.64666292,,,
200,100,99.35149384,0.648506163,0.648506163,,,
201,100,99.34960317,0.650396835,0.650396835,,,
202,100,99.34766513,0.652334866,0.652334866,,,
203,100,99.34567981,0.654320187,0.654320187,,,
204,100,99.34364728,0.656352725,0.656352725,,,
205,100,99.34156759,0.658432407,0.658432407,,,
206,100,99.33944084,0.66055916,0.66055916,,,
207,100,99.33726709,0.662732911,0.662732911,,,
208,100,99.33504642,0.664953583,0.664953583,,,
209,100,99.3327789,0.667221102,0.667221102,,,
210,100,99.33046461,0.66953539,0.66953539,,,
211,100,99.32810363,0.671896371,0.671896371,,,
212,100,99.32569603,0.674303966,0.674303966,,,
213,100,99.3232419,0.676758097,0.676758097,,,
214,100,99.32074132,0.679258685,0.679258685,,,
215,100,99.31819435,0.681805648,0.681805648,,,
216,100,99.31560109,0.684398905,0.684398905,,,
217,100,99.31296162,0.687038376,0.687038376,,,
218,100,99.31027602,0.689723977,0.689723977,,,
219,100,99.30754437,0.692455626,0.692455626,,,
220,100,99.30476676,0.695233237,0.695233237,,,
221,100,99.30194327,0.698056727,0.698056727,,,
222,100,99.29907399,0.700926011,0.700926011,,,
223,100,99.296159,0.703841002,0.703841002,,,
224,100,99.29319839,0.706801613,0.706801613,,,
225,100,99.29019224,0.709807757,0.709807757,,,
226,100,99.28714065,0.712859346,0.712859346,,,
227,100,99.28404371,0.715956291,0.715956291,,,
228,100,99.2809015,0.719098503,0.719098503,,,
229,100,99.27771411,0.722285891,0.722285891,,,
230,100,99.27448164,0.725518364,0.725518364,,,
231,100,99.27120417,0.728795832,0.728795832,,,
232,100,99.2678818,0.732118201,0.732118201,,,
233,100,99.26451462,0.73548538,0.73548538,,,
234,100,99.26110272,0.738897275,0.738897275,,,
235,100,99.25764621,0.742353792,0.742353792,,,
236,100,99.25414516,0.745854835,0.745854835,,,
237,100,99.25059969,0.749400311,0.749400311,,,
238,100,99.24700988,0.752990122,0.752990122,,,
239,100,99.24337583,0.756624173,0.756624173,,,
240,100,99.23969763,0.760302366,0.760302366,,,
241,99.98,99.2359754,0.744024604,0.744173439,,,
242,99.96,99.23220921,0.727790788,0.728082021,,,
243,99.96,99.22839918,0.73160082,0.731893577,,,
244,99.96,99.2245454,0.7354546,0.735748899,,,
245,99.95,99.22064797,0.729352027,0.729716885,,,
246,99.93,99.216707,0.713293001,0.713792656,,,
247,99.93,99.21272258,0.717277422,0.717779868,,,
248,99.93,99.20869481,0.721305187,0.721810454,,,
249,99.92,99.20462381,0.715376193,0.715948953,,,
250,99.91,99.20050966,0.709490339,0.710129456,,,
251,99.9,99.19635248,0.70364752,0.704351872,,,
252,99.89,99.19215237,0.697847633,0.698616111,,,
253,99.88,99.18790943,0.692090573,0.69292208,,,
254,99.86,99.18362376,0.676376236,0.67732449,,,
255,99.83,99.17929549,0.650704514,0.651812596,,,
256,99.83,99.1749247,0.655075303,0.656190828,,,
257,99.82,99.1705115,0.649488496,0.650659684,,,
258,99.81,99.16605601,0.643943986,0.645169809,,,
259,99.81,99.16155834,0.648441665,0.649676049,,,
260,99.8,99.15701858,0.642981425,0.644269964,,,
261,99.8,99.15243684,0.647563157,0.648860878,,,
262,99.79,99.14781325,0.642186752,0.643538182,,,
263,99.76,99.1431479,0.616852101,0.618336108,,,
264,99.75,99.13844091,0.611559094,0.613091823,,,
265,99.75,99.13369238,0.616307619,0.61785225,,,
266,99.73,99.12890243,0.601097567,0.602724924,,,
267,99.73,99.12407117,0.605928825,0.607569262,,,
268,99.72,99.11919872,0.600801282,0.602488249,,,
269,99.7,99.11428517,0.585714825,0.587477257,,,
270,99.7,99.10933066,0.590669341,0.592446681,,,
271,99.68,99.10433528,0.575664718,0.577512759,,,
272,99.64,99.09929916,0.54070084,0.542654396,,,
273,99.63,99.0942224,0.535777595,0.537767334,,,
274,99.61,99.08910513,0.520894868,0.522934311,,,
275,99.61,99.08394746,0.526052542,0.52811218,,,
276,99.6,99.0787495,0.521250504,0.52334388,,,
277,99.6,99.07351136,0.526488637,0.528603049,,,
278,99.6,99.06823318,0.531766825,0.533902434,,,
279,99.59,99.06291505,0.527084951,0.529254896,,,
280,99.59,99.0575571,0.532442898,0.534634901,,,
281,99.58,99.05215945,0.527840548,0.530066829,,,
282,99.57,99.04672222,0.523277784,0.525537596,,,
283,99.57,99.04124551,0.528754488,0.531037951,,,
284,99.56,99.03572946,0.52427054,0.526587525,,,
285,99.56,99.03017418,0.529825822,0.532167359,,,
286,99.55,99.02457979,0.525420214,0.527795293,,,
287,99.55,99.0189464,0.531053597,0.533454141,,,
288,99.55,99.01327415,0.53672585,0.539152034,,,
289,99.54,99.00756315,0.532436853,0.534897381,,,
290,99.52,99.00181352,0.518186485,0.520685777,,,
291,99.5,98.99602538,0.503974624,0.50650716,,,
292,99.5,98.99019885,0.50980115,0.512362965,,,
293,99.49,98.98433406,0.50566594,0.508258056,,,
294,99.45,98.97843113,0.471568872,0.474176845,,,
295,99.44,98.97249018,0.467509823,0.470142622,,,
296,99.44,98.96651133,0.473488671,0.47615514,,,
297,99.43,98.96049471,0.469505292,0.472196814,,,
298,99.4,98.95444044,0.445559563,0.448249058,,,
299,99.37,98.94834864,0.42165136,0.424324605,,,
300,99.36,98.94221944,0.417780558,0.420471576,,,
301,99.34,98.93605297,0.403947033,0.406630797,,,
302,99.34,98.92984934,0.410150661,0.41287564,,,
303,99.32,98.92360868,0.396391316,0.399105232,,,
304,99.32,98.91733113,0.402668873,0.405425768,,,
305,99.3,98.91101679,0.388983206,0.391725283,,,
306,99.29,98.90466581,0.38533419,0.388089626,,,
307,99.26,98.8982783,0.361721697,0.364418393,,,
308,99.25,98.8918544,0.358145602,0.360851992,,,
309,99.24,98.88539422,0.354605777,0.35732142,,,
310,99.24,98.8788979,0.361102096,0.363867489,,,
311,99.23,98.87236557,0.357634431,0.360409585,,,
312,99.2,98.86579734,0.334202656,0.336897838,,,
313,99.19,98.85919336,0.33080664,0.333508056,,,
314,99.17,98.85255374,0.317446258,0.320103114,,,
315,99.16,98.84587862,0.31412138,0.316782352,,,
316,99.16,98.83916812,0.320831878,0.323549696,,,
317,99.14,98.83242238,0.307577623,0.310245736,,,
318,99.13,98.82564151,0.304358486,0.307029644,,,
319,99.13,98.81882566,0.311174338,0.313905314,,,
320,99.12,98.81197495,0.308025048,0.310759734,,,
321,99.11,98.80508951,0.304910489,0.307648561,,,
322,99.11,98.79816947,0.311830528,0.314630742,,,
323,99.11,98.79121496,0.318785037,0.321647702,,,
324,99.09,98.78422611,0.305773885,0.308581981,,,
325,99.08,98.77720306,0.302796941,0.30560854,,,
326,99.07,98.77014592,0.299854075,0.302668896,,,
327,99.06,98.76305484,0.296945156,0.299762927,,,
328,99.05,98.75592995,0.294070051,0.296890511,,,
329,99.04,98.74877137,0.291228631,0.294051526,,,
330,99.03,98.74157924,0.288420763,0.291245848,,,
331,99.02,98.73435368,0.285646316,0.288473355,,,
332,99,98.72709484,0.272905158,0.275661776,,,
333,98.98,98.71980284,0.260197156,0.262878517,,,
334,98.98,98.71247782,0.267522179,0.270279025,,,
335,98.97,98.70511991,0.264880094,0.267636753,,,
336,98.95,98.69772923,0.252270768,0.254947719,,,
