Cycle No,Residual Capacity(Actual),Residual Capacity(Predicted)
684,95.02,
685,95.02,
686,95.02,
687,95.01,
688,95.01,
689,95.01,
690,94.99,
691,94.99,
692,94.98,
693,94.97,
694,94.96,
695,94.95,
696,94.94,
697,94.93,
698,94.93,
699,94.92,
700,94.89,
701,94.88,
702,94.86,
703,94.85,
704,94.84,
705,94.83,
706,94.83,
707,94.81,
708,94.8,
709,94.8,
710,94.8,
711,94.77,
712,94.75,
713,94.75,
714,94.74,
715,94.72,
716,94.72,
717,94.7,
718,94.69,
719,94.68,
720,94.68,
721,94.66,
722,94.65,
723,94.64,
724,94.63,
725,94.63,
726,94.61,
727,94.6,
728,94.6,
729,94.59,
730,94.59,
731,94.59,
732,94.58,
733,94.56,
734,94.56,
735,94.55,
736,94.53,
737,94.53,
738,94.53,
739,94.51,
740,94.48,
741,94.48,
742,94.46,
743,94.46,
744,94.46,
745,94.44,
746,94.43,
747,94.41,
748,94.41,
749,94.41,
750,94.38,
751,94.38,
752,94.35,
753,94.34,
754,94.33,
755,94.33,
756,94.32,
757,94.3,
758,94.29,
759,94.28,
760,94.28,
761,94.28,
762,94.26,
763,94.24,
764,94.22,
765,94.22,
766,94.19,
767,94.19,
768,94.18,
769,94.17,
770,94.17,
771,94.16,
772,94.16,
773,94.15,
774,94.14,
775,94.14,
776,94.13,
777,94.13,
778,94.12,
779,94.12,
780,94.09,
781,94.09,
782,94.09,
783,94.07,
784,94.06,
785,94.06,
786,94.04,
787,94.03,
788,94.03,
789,94.01,
790,93.99,
791,93.98,
792,93.97,
793,93.95,
794,93.94,
795,93.93,
796,93.93,
797,93.93,
798,93.92,
799,93.9,
800,93.89,
801,93.88,
802,93.84,
803,93.84,
804,93.83,
805,93.83,
806,93.82,
807,93.8,
808,93.78,
809,93.78,
810,93.77,
811,93.76,
812,93.76,
813,93.74,
814,93.73,
815,93.73,
816,93.72,
817,93.72,
818,93.71,
819,93.7,
820,93.7,
821,93.69,
822,93.65,
823,93.65,
824,93.65,
825,93.65,
826,93.65,
827,93.63,
828,93.61,
829,93.61,
830,93.59,
831,93.59,
832,93.57,
833,93.54,
834,93.54,
835,93.54,
836,93.54,
837,93.54,
838,93.53,
839,93.52,
840,93.51,
841,93.48,
842,93.46,
843,93.46,
844,93.46,
845,93.46,
846,93.45,
847,93.41,
848,93.41,
849,93.4,
850,93.37,
851,93.37,
852,93.36,
853,93.34,
854,93.34,
855,93.33,
856,93.33,
857,93.32,
858,93.31,
859,93.3,
860,93.29,
861,93.29,
862,93.28,
863,93.28,
864,93.27,
865,93.27,
866,93.24,
867,93.23,
868,93.22,
869,93.2,
870,93.18,
871,93.17,
872,93.17,
873,93.17,
874,93.15,
875,93.15,
876,93.14,
877,93.14,
878,93.13,
879,93.13,
880,93.11,
881,93.1,
882,93.09,
883,93.08,
884,93.06,
885,93.05,
886,93.03,
887,93.03,
888,93.03,
889,92.99,
890,92.97,
891,92.97,
892,92.97,
893,92.95,
894,92.95,
895,92.95,
896,92.94,
897,92.93,
898,92.93,
899,92.92,
900,92.9,
901,92.89,
902,92.89,
903,92.87,
904,92.87,
905,92.86,
906,92.85,
907,92.84,
908,92.81,
909,92.8,
910,92.79,
911,92.78,
912,92.78,
913,92.77,
914,92.77,
915,92.76,
916,92.76,
917,92.75,
918,92.74,
919,92.73,
920,92.72,
921,92.71,
922,92.71,
923,92.7,
924,92.69,
925,92.66,
926,92.64,
927,92.64,
928,92.62,
929,92.61,
930,92.61,
931,92.61,
932,92.57,
933,92.57,
934,92.57,
935,92.55,
936,92.54,
937,92.53,
938,92.53,
939,92.52,
940,92.51,
941,92.51,
942,92.51,
943,92.48,
944,92.47,
945,92.45,
946,92.44,
947,92.43,
948,92.43,
949,92.39,
950,92.38,
951,92.37,
952,92.37,
953,92.37,
954,92.36,
955,92.35,
956,92.34,
957,92.34,
958,92.34,
959,92.33,
960,92.33,
961,92.32,
962,92.31,
963,92.3,
964,92.29,
965,92.28,
966,92.27,
967,92.25,
968,92.25,
969,92.25,
970,92.22,
971,92.2,
972,92.19,
973,92.19,
974,92.18,
975,92.17,
976,92.17,
977,92.16,
978,92.13,
979,92.13,
980,92.13,
981,92.11,
982,92.1,
983,92.09,
984,92.09,
985,92.07,
986,92.06,
987,92.03,
988,92.02,
989,92.01,
990,92.01,
991,92,
992,92,
993,91.98,
994,91.98,
995,91.97,
996,91.96,
997,91.94,
998,91.94,
999,91.94,
1000,91.93,
1001,91.92,
1002,91.89,
1003,91.89,
1004,91.88,
1005,91.85,
1006,91.84,
1007,91.83,
1008,91.83,
1009,91.83,
1010,91.82,
1011,91.81,
1012,91.79,
1013,91.79,
1014,91.79,
1015,91.79,
1016,91.77,
1017,91.76,
1018,91.76,
1019,91.75,
1020,91.74,
1021,91.74,
1022,91.73,
1023,91.71,
1024,91.69,
1025,91.68,
1026,91.66,
1027,91.66,
1028,91.64,
1029,91.64,
1030,91.62,
1031,91.61,
1032,91.61,
1033,91.6,
1034,91.59,
1035,91.56,
1036,91.56,
1037,91.56,
1038,91.54,
1039,91.54,
1040,91.53,
1041,91.51,
1042,91.5,
1043,91.49,
1044,91.49,
1045,91.48,
1046,91.47,
1047,91.46,
1048,91.46,
1049,91.45,
1050,91.44,
1051,91.43,
1052,91.4,
1053,91.4,
1054,91.39,
1055,91.37,
1056,91.36,
1057,91.36,
1058,91.35,
1059,91.34,
1060,91.32,
1061,91.32,
1062,91.32,
1063,91.31,
1064,91.3,
1065,91.28,
1066,91.27,
1067,91.27,
1068,91.27,
1069,91.26,
1070,91.24,
1071,91.24,
1072,91.2,
1073,91.17,
1074,91.17,
1075,91.17,
1076,91.17,
1077,91.16,
1078,91.15,
1079,91.14,
1080,91.14,
1081,91.14,
1082,91.14,
1083,91.1,
1084,91.1,
1085,91.09,
1086,91.08,
1087,91.06,
1088,91.03,
1089,91.03,
1090,91.03,
1091,91.01,
1092,90.99,
1093,90.99,
1094,90.99,
1095,90.98,
1096,90.98,
1097,90.97,
1098,90.96,
1099,90.96,
1100,90.95,
1101,90.94,
1102,90.94,
1103,90.93,
1104,90.93,
1105,90.9,
1106,90.9,
1107,90.87,
1108,90.86,
1109,90.84,
1110,90.81,
1111,90.81,
1112,90.8,
1113,90.8,
1114,90.79,
1115,90.79,
1116,90.76,
1117,90.76,
1118,90.76,
1119,90.76,
1120,90.76,
1121,90.75,
1122,90.75,
1123,90.73,
1124,90.72,
1125,90.71,
1126,90.69,
1127,90.63,
1128,90.63,
1129,90.62,
1130,90.61,
1131,90.61,
1132,90.61,
1133,90.6,
1134,90.6,
1135,90.59,
1136,90.58,
1137,90.58,
1138,90.56,
1139,90.56,
1140,90.55,
1141,90.54,
1142,90.53,
1143,90.53,
1144,90.51,
1145,90.49,
1146,90.48,
1147,90.47,
1148,90.46,
1149,90.45,
1150,90.44,
1151,90.42,
1152,90.42,
1153,90.42,
1154,90.42,
1155,90.42,
1156,90.41,
1157,90.4,
1158,90.39,
1159,90.36,
1160,90.35,
1161,90.34,
1162,90.34,
1163,90.32,
1164,90.32,
1165,90.29,
1166,90.27,
1167,90.26,
1168,90.25,
1169,90.25,
1170,90.24,
1171,90.23,
1172,90.22,
1173,90.22,
1174,90.21,
1175,90.21,
1176,90.17,
1177,90.16,
1178,90.16,
1179,90.16,
1180,90.15,
1181,90.14,
1182,90.14,
1183,90.12,
1184,90.12,
1185,90.09,
1186,90.08,
1187,90.08,
1188,90.08,
1189,90.05,
1190,90.03,
1191,90.03,
1192,90.02,
1193,90.02,
1194,90,
1195,89.98,
1196,89.97,
1197,89.96,
1198,89.96,
1199,89.95,
1200,89.95,
1201,89.95,
1202,89.95,
1203,89.93,
1204,89.93,
1205,89.91,
1206,89.91,
1207,89.91,
1208,89.91,
1209,89.89,
1210,89.86,
1211,89.85,
1212,89.84,
1213,89.84,
1214,89.79,
1215,89.78,
1216,89.78,
1217,89.77,
1218,89.76,
1219,89.76,
1220,89.74,
1221,89.74,
1222,89.73,
1223,89.73,
1224,89.73,
1225,89.73,
1226,89.69,
1227,89.69,
1228,89.68,
1229,89.67,
1230,89.65,
1231,89.65,
1232,89.64,
1233,89.61,
1234,89.61,
1235,89.6,
1236,89.59,
1237,89.58,
1238,89.57,
1239,89.56,
1240,89.56,
1241,89.56,
1242,89.56,
1243,89.56,
1244,89.54,
1245,89.49,
1246,89.47,
1247,89.47,
1248,89.46,
1249,89.46,
1250,89.45,
1251,89.43,
1252,89.43,
1253,89.42,
1254,89.42,
1255,89.41,
1256,89.41,
1257,89.41,
1258,89.4,
1259,89.38,
1260,89.36,
1261,89.36,
1262,89.36,
1263,89.34,
1264,89.31,
1265,89.3,
1266,89.3,
1267,89.28,
1268,89.27,
1269,89.26,
1270,89.25,
1271,89.24,
1272,89.23,
1273,89.22,
1274,89.22,
1275,89.22,
1276,89.22,
1277,89.21,
1278,89.18,
1279,89.17,
1280,89.16,
1281,89.16,
1282,89.15,
1283,89.15,
1284,89.12,
1285,89.1,
1286,89.09,
1287,89.09,
1288,89.08,
1289,89.06,
1290,89.06,
1291,89.05,
1292,89.05,
1293,89.04,
1294,89.04,
1295,89.04,
1296,89.03,
1297,89,
1298,89,
1299,88.97,
1300,88.95,
1301,88.93,
1302,88.92,
1303,88.92,
1304,88.91,
1305,88.89,
1306,88.89,
1307,88.88,
1308,88.88,
1309,88.88,
1310,88.86,
1311,88.86,
1312,88.86,
1313,88.86,
1314,88.86,
1315,88.85,
1316,88.82,
1317,88.77,
1318,88.76,
1319,88.75,
1320,88.75,
1321,88.75,
1322,88.74,
1323,88.72,
1324,88.72,
1325,88.72,
1326,88.71,
1327,88.7,
1328,88.68,
1329,88.68,
1330,88.67,
1331,88.67,
1332,88.66,
1333,88.66,
1334,88.65,
1335,88.64,
1336,88.62,
1337,88.6,
1338,88.58,
1339,88.57,
1340,88.56,
1341,88.55,
1342,88.55,
1343,88.55,
1344,88.54,
1345,88.54,
1346,88.51,
1347,88.51,
1348,88.49,
1349,88.49,
1350,88.48,
1351,88.47,
1352,88.47,
1353,88.46,
1354,88.42,
1355,88.41,
1356,88.4,
1357,88.38,
1358,88.38,
1359,88.37,
1360,88.37,
1361,88.35,
1362,88.35,
1363,88.35,
1364,88.33,
1365,88.32,
1366,88.31,
1367,88.31,
1368,88.3,
1369,88.3,
1370,88.29,
1371,88.28,
1372,88.28,
1373,88.24,
1374,88.21,
1375,88.19,
1376,88.19,
1377,88.19,
1378,88.18,
1379,88.17,
1380,88.16,
1381,88.16,
1382,88.15,
1383,88.15,
1384,88.14,
1385,88.13,
1386,88.13,
1387,88.12,
1388,88.11,
1389,88.1,
1390,88.09,
1391,88.09,
1392,88.08,
1393,88.07,
1394,88.06,
1395,88.04,
1396,88.04,
1397,88.04,
1398,88,
1399,87.99,
1400,87.98,
1401,87.98,
1402,87.98,
1403,87.95,
1404,87.94,
1405,87.94,
1406,87.94,
1407,87.92,
1408,87.92,
1409,87.89,
1410,87.89,
1411,87.89,
1412,87.88,
1413,87.87,
1414,87.87,
1415,87.85,
1416,87.85,
1417,87.82,
1418,87.82,
1419,87.81,
1420,87.8,
1421,87.79,
1422,87.76,
1423,87.76,
1424,87.76,
1425,87.75,
1426,87.75,
1427,87.74,
1428,87.73,
1429,87.73,
1430,87.72,
1431,87.72,
1432,87.69,
1433,87.69,
1434,87.68,
1435,87.64,
1436,87.64,
1437,87.63,
1438,87.63,
1439,87.62,
1440,87.61,
1441,87.6,
1442,87.59,
1443,87.57,
1444,87.57,
1445,87.57,
1446,87.56,
1447,87.56,
1448,87.55,
1449,87.55,
1450,87.55,
1451,87.55,
1452,87.55,
1453,87.54,
1454,87.52,
1455,87.51,
1456,87.5,
1457,87.47,
1458,87.46,
1459,87.45,
1460,87.45,
1461,87.44,
1462,87.4,
1463,87.39,
1464,87.39,
1465,87.39,
1466,87.39,
1467,87.38,
1468,87.37,
1469,87.37,
1470,87.36,
1471,87.35,
1472,87.35,
1473,87.34,
1474,87.34,
1475,87.31,
1476,87.3,
1477,87.3,
1478,87.28,
1479,87.28,
1480,87.27,
1481,87.27,
1482,87.24,
1483,87.21,
1484,87.21,
1485,87.2,
1486,87.2,
1487,87.2,
1488,87.19,
1489,87.19,
1490,87.18,
1491,87.18,
1492,87.17,
1493,87.15,
1494,87.15,
1495,87.14,
1496,87.14,
1497,87.11,
1498,87.11,
1499,87.11,
1500,87.11,
1501,87.08,
1502,87.06,
1503,87.06,
1504,87.04,
1505,87.04,
1506,87.03,
1507,87.02,
1508,87.01,
1509,87.01,
1510,87.01,
1511,87.01,
1512,87,
1513,87,
1514,87,
1515,86.99,
1516,86.95,
1517,86.95,
1518,86.94,
1519,86.93,
1520,86.93,
1521,86.92,
1522,86.89,
1523,86.89,
1524,86.88,
1525,86.88,
1526,86.87,
1527,86.87,
1528,86.87,
1529,86.84,
1530,86.84,
1531,86.83,
1532,86.83,
1533,86.83,
1534,86.81,
1535,86.81,
1536,86.8,
1537,86.8,
1538,86.78,
1539,86.77,
1540,86.76,
1541,86.76,
1542,86.73,
1543,86.72,
1544,86.71,
1545,86.7,
1546,86.69,
1547,86.68,
1548,86.67,
1549,86.67,
1550,86.66,
1551,86.66,
1552,86.65,
1553,86.65,
1554,86.65,
1555,86.65,
1556,86.65,
1557,86.62,
1558,86.62,
1559,86.61,
1560,86.58,
1561,86.58,
1562,86.57,
1563,86.56,
1564,86.53,
1565,86.53,
1566,86.53,
1567,86.52,
1568,86.51,
1569,86.51,
1570,86.49,
1571,86.49,
1572,86.48,
1573,86.48,
1574,86.47,
1575,86.47,
1576,86.47,
1577,86.44,
1578,86.43,
1579,86.43,
1580,86.43,
1581,86.41,
1582,86.41,
1583,86.4,
1584,86.36,
1585,86.36,
1586,86.35,
1587,86.35,
1588,86.35,
1589,86.34,
1590,86.34,
1591,86.33,
1592,86.32,
1593,86.31,
1594,86.31,
1595,86.3,
1596,86.29,
1597,86.28,
1598,86.27,
1599,86.25,
1600,86.25,
1601,86.24,
1602,86.24,
1603,86.23,
1604,86.22,
1605,86.22,
1606,86.2,
1607,86.18,
1608,86.16,
1609,86.16,
1610,86.15,
1611,86.15,
1612,86.15,
1613,86.14,
1614,86.14,
1615,86.14,
1616,86.13,
1617,86.11,
1618,86.1,
1619,86.1,
1620,86.09,
1621,86.06,
1622,86.06,
1623,86.06,
1624,86.06,
1625,86.03,
1626,86.02,
1627,86.01,
1628,86.01,
1629,86,
1630,85.99,
1631,85.98,
1632,85.98,
1633,85.97,
1634,85.96,
1635,85.96,
1636,85.95,
1637,85.93,
1638,85.92,
1639,85.91,
1640,85.91,
1641,85.91,
1642,85.88,
1643,85.88,
1644,85.88,
1645,85.87,
1646,85.87,
1647,85.84,
1648,85.83,
1649,85.82,
1650,85.81,
1651,85.8,
1652,85.79,
1653,85.79,
1654,85.78,
1655,85.78,
1656,85.76,
1657,85.76,
1658,85.76,
1659,85.75,
1660,85.75,
1661,85.74,
1662,85.73,
1663,85.73,
1664,85.71,
1665,85.71,
1666,85.7,
1667,85.69,
1668,85.69,
1669,85.67,
1670,85.67,
1671,85.66,
1672,85.64,
1673,85.63,
1674,85.62,
1675,85.61,
1676,85.61,
1677,85.59,
1678,85.57,
1679,85.57,
1680,85.56,
1681,85.56,
1682,85.56,
1683,85.55,
1684,85.55,
1685,85.55,
1686,85.53,
1687,85.5,
1688,85.5,
1689,85.5,
1690,85.5,
1691,85.49,
1692,85.46,
1693,85.46,
1694,85.45,
1695,85.44,
1696,85.43,
1697,85.42,
1698,85.42,
1699,85.41,
1700,85.41,
1701,85.38,
1702,85.38,
1703,85.38,
1704,85.37,
1705,85.37,
1706,85.36,
1707,85.36,
1708,85.33,
1709,85.33,
1710,85.32,
1711,85.31,
1712,85.28,
1713,85.28,
1714,85.28,
1715,85.26,
1716,85.26,
1717,85.26,
1718,85.25,
1719,85.25,
1720,85.24,
1721,85.24,
1722,85.23,
1723,85.2,
1724,85.2,
1725,85.18,
1726,85.18,
1727,85.18,
1728,85.18,
1729,85.17,
1730,85.17,
1731,85.16,
1732,85.13,
1733,85.13,
1734,85.12,
1735,85.12,
1736,85.11,
1737,85.11,
1738,85.11,
1739,85.06,
1740,85.06,
1741,85.06,
1742,85.05,
1743,85.04,
1744,85.02,
1745,85.01,
1746,85.01,
1747,85,
1748,85,
1749,84.99,
1750,84.98,
1751,84.98,
1752,84.97,
1753,84.96,
1754,84.95,
1755,84.94,
1756,84.94,
1757,84.94,
1758,84.94,
1759,84.93,
1760,84.89,
1761,84.88,
1762,84.86,
1763,84.86,
1764,84.84,
1765,84.83,
1766,84.83,
1767,84.83,
1768,84.83,
1769,84.83,
1770,84.83,
1771,84.81,
1772,84.81,
1773,84.79,
1774,84.79,
1775,84.77,
1776,84.76,
1777,84.76,
1778,84.76,
1779,84.75,
1780,84.74,
1781,84.7,
1782,84.69,
1783,84.68,
1784,84.67,
1785,84.66,
1786,84.66,
1787,84.66,
1788,84.65,
1789,84.65,
1790,84.65,
1791,84.64,
1792,84.63,
1793,84.62,
1794,84.61,
1795,84.6,
1796,84.59,
1797,84.59,
1798,84.58,
1799,84.58,
1800,84.57,
1801,84.57,
1802,84.57,
1803,84.52,
1804,84.52,
1805,84.5,
1806,84.5,
1807,84.49,
1808,84.48,
1809,84.47,
1810,84.47,
1811,84.47,
1812,84.46,
1813,84.45,
1814,84.44,
1815,84.44,
1816,84.42,
1817,84.42,
1818,84.42,
1819,84.41,
1820,84.41,
1821,84.41,
1822,84.39,
1823,84.39,
1824,84.38,
1825,84.38,
1826,84.34,
1827,84.32,
1828,84.32,
1829,84.31,
1830,84.3,
1831,84.29,
1832,84.28,
1833,84.28,
1834,84.26,
1835,84.25,
1836,84.24,
1837,84.24,
1838,84.23,
1839,84.22,
1840,84.21,
1841,84.21,
1842,84.2,
1843,84.2,
1844,84.2,
1845,84.19,
1846,84.19,
1847,84.18,
1848,84.16,
1849,84.15,
1850,84.13,
1851,84.13,
1852,84.13,
1853,84.11,
1854,84.1,
1855,84.08,
1856,84.08,
1857,84.08,
1858,84.08,
1859,84.07,
1860,84.04,
1861,84.02,
1862,84.01,
1863,84.01,
1864,84.01,
1865,83.99,
1866,83.99,
1867,83.99,
1868,83.98,
1869,83.98,
1870,83.97,
1871,83.97,
1872,83.97,
1873,83.96,
1874,83.96,
1875,83.96,
1876,83.95,
1877,83.92,
1878,83.92,
1879,83.91,
1880,83.9,
1881,83.89,
1882,83.89,
1883,83.85,
1884,83.83,
1885,83.83,
1886,83.82,
1887,83.79,
1888,83.79,
1889,83.79,
1890,83.79,
1891,83.78,
1892,83.78,
1893,83.77,
1894,83.76,
1895,83.76,
1896,83.74,
1897,83.74,
1898,83.74,
1899,83.74,
1900,83.73,
1901,83.73,
1902,83.73,
1903,83.72,
1904,83.71,
1905,83.7,
1906,83.64,
